sku,title,type,den,url,image,filename,folder
16329,Nevada Area Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/nevada-area-council-shoulder-patch-16329.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16329.jpg,16329 - Nevada-Area-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
664997,New Hampshire Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/new-hampshire-council-shoulder-patch-664997.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/664997_new_hampshire_council_emblem.jpg,664997 - New-Hampshire-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16087,North Florida Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/north-florida-council-shoulder-patch-16087.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16087.jpg,16087 - North-Florida-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
654448,Northeast Georgia Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/northeast-georgia-council-shoulder-patch-654448.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/654448.jpg,654448 - Northeast-Georgia-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16501,Northeastern Pennsylvania Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/northeastern-pennsylvania-council-shoulder-patch-16501.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16501.jpg,16501 - Northeastern-Pennsylvania-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
655647,Northern Star Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/northern-star-council-shoulder-patch-655647.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/5/655647.jpg,655647 - Northern-Star-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
16100,Northwest Georgia Council Shoulder Patch,loop,unknown,https://www.scoutshop.org/northwest-georgia-council-shoulder-patch-16100.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/1/6/16100.jpg,16100 - Northwest-Georgia-Council-Shoulder-Patch.jpg,scout_awards_media\loops\unknown
661365,NoSo New Zealand Rainbow by A.D. Maddox Patch,loop,unknown,https://www.scoutshop.org/noso-new-zealand-rainbow-by-ad-maddox-661365.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/661365_noso_new_zealand_rainbow_patch.jpg,661365 - NoSo-New-Zealand-Rainbow-by-AD-Maddox-Patch.jpg,scout_awards_media\loops\unknown
662969,NoSo Robot Patch,loop,unknown,https://www.scoutshop.org/noso-robot-patch-662969.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/662969_noso_robot_patch.jpg,662969 - NoSo-Robot-Patch.jpg,scout_awards_media\loops\unknown
662963,NoSo Snow Camo Patch,loop,unknown,https://www.scoutshop.org/noso-snow-camo-patch-662963.html,https://retailobjects.scoutshop.org/media/catalog/product/cache/6146171d1b2720fb4258aa21dfaa2bd4/6/6/662963_noso_snow_camo_patch.jpg,662963 - NoSo-Snow-Camo-Patch.jpg,scout_awards_media\loops\unknown
